idx,city,country,iso3,capital,lat,lng,admin_name,population
6714,Nasatta,Pakistan,PAK,,34.1022,71.7964,Khyber Pakhtunkhwa,90200.0
6715,Abomey,Benin,BEN,admin,7.1856,1.9881,Zou,90195.0
6716,Pollāchi,India,IND,,10.659,77.008,Tamil Nādu,90180.0
6717,Gjilan,Kosovo,XKS,admin,42.4647,21.4669,Gjilan,90178.0
6718,Hendek,Turkey,TUR,minor,40.805,30.7492,Sakarya,90153.0
6719,Gujar Khan,Pakistan,PAK,,33.253,73.304,Punjab,90131.0
6720,Jalalpur Jattan,Pakistan,PAK,,32.6419,74.2033,Punjab,90130.0
6721,Wajir,Kenya,KEN,admin,1.75,40.05,Wajir,90116.0
6722,Victorias,Philippines,PHL,,10.9,123.08,Negros Occidental,90101.0
6723,Marudi,Malaysia,MYS,,4.1833,114.3167,Sarawak,90100.0
6724,Kāvali,India,IND,,14.913,79.9929,Andhra Pradesh,90099.0
6725,Aubervilliers,France,FRA,,48.9131,2.3831,Île-de-France,90071.0
6726,Botoşani,Romania,ROU,admin,47.7486,26.6694,Botoşani,90010.0
6727,Darnah,Libya,LBY,admin,32.7636,22.6361,Darnah,90000.0
6728,Möng Tun,Burma,MMR,,20.3,98.9333,Shan State,90000.0
6729,Richard-Toll,Senegal,SEN,,16.4667,-15.6833,Saint-Louis,90000.0
6730,Afmadow,Somalia,SOM,,0.5156,42.0733,Jubbada Hoose,90000.0
6731,Barwaaqo,Somalia,SOM,,3.4833,42.1833,Gedo,90000.0
6732,Ma‘arrat an Nu‘mān,Syria,SYR,minor,35.6386,36.6717,Idlib,90000.0
6733,Luau,Angola,AGO,,-10.7044,22.2283,Moxico,90000.0
6734,Necochea,Argentina,ARG,minor,-38.55,-58.7333,Buenos Aires,90000.0
6735,Tangjia,China,CHN,,30.7833,120.3,Zhejiang,90000.0
6736,Al Badrashayn,Egypt,EGY,,29.852,31.276,Al Jīzah,90000.0
6737,Léogâne,Haiti,HTI,,18.5108,-72.6339,Ouest,90000.0
6738,El Ejido,Spain,ESP,,36.7831,-2.8167,Andalusia,89975.0
6739,Mihara,Japan,JPN,,34.3975,133.0786,Hiroshima,89972.0
6740,Compostela,Philippines,PHL,,7.67,126.08,Davao de Oro,89884.0
6741,Presidencia Roque Sáenz Peña,Argentina,ARG,minor,-26.7833,-60.45,Chaco,89882.0
6742,Kiselëvsk,Russia,RUS,,54.0,86.65,Kemerovskaya Oblast’,89867.0
6743,Bayt Lāhyā,Gaza Strip,XGZ,,31.55,34.5,,89838.0
6744,Patrocínio,Brazil,BRA,,-18.9333,-46.9833,Minas Gerais,89826.0
6745,El Puerto de Santa María,Spain,ESP,,36.6015,-6.2381,Andalusia,89813.0
6746,Itapeva,Brazil,BRA,,-23.9822,-48.8756,São Paulo,89728.0
6747,San Leandro,United States,USA,,37.7074,-122.1599,California,89723.0
6748,Olavarría,Argentina,ARG,minor,-36.9,-60.3333,Buenos Aires,89721.0
6749,Dobrich,Bulgaria,BGR,admin,43.5667,27.8333,Dobrich,89701.0
6750,Stevenage,United Kingdom,GBR,,51.9017,-0.2019,Hertfordshire,89663.0
6751,San José Pinula,Guatemala,GTM,minor,14.55,-90.4167,Guatemala,89639.0
6752,Sankeshwar,India,IND,,16.27,74.48,Karnātaka,89627.0
6753,Kōka,Japan,JPN,,34.9667,136.1667,Shiga,89619.0
6754,Glyfáda,Greece,GRC,minor,37.8667,23.75,Attikí,89597.0
